Id,Predicted
1,POSITIVE
2,POSITIVE
3,POSITIVE
4,NEGATIVE
5,NEGATIVE
6,POSITIVE
7,NEGATIVE
8,NEGATIVE
9,NEGATIVE
10,NEUTRAL
11,NEUTRAL
12,POSITIVE
13,NEGATIVE
14,NEUTRAL
15,NEGATIVE
16,POSITIVE
17,NEGATIVE
18,POSITIVE
19,POSITIVE
20,NEGATIVE
21,NEGATIVE
22,NEGATIVE
23,POSITIVE
24,NEGATIVE
25,NEUTRAL
26,NEUTRAL
27,NEGATIVE
28,NEUTRAL
29,POSITIVE
30,NEGATIVE
31,NEGATIVE
32,POSITIVE
33,NEGATIVE
34,POSITIVE
35,NEGATIVE
36,NEGATIVE
37,POSITIVE
38,NEGATIVE
39,POSITIVE
40,POSITIVE
41,NEGATIVE
42,NEGATIVE
43,NEGATIVE
44,NEUTRAL
45,NEGATIVE
46,POSITIVE
47,NEUTRAL
48,NEGATIVE
49,NEUTRAL
50,NEGATIVE
51,NEGATIVE
52,NEGATIVE
53,NEUTRAL
54,NEGATIVE
55,NEGATIVE
56,NEGATIVE
57,NEGATIVE
58,NEUTRAL
59,POSITIVE
60,NEGATIVE
61,NEGATIVE
62,NEGATIVE
63,POSITIVE
64,NEUTRAL
65,POSITIVE
66,POSITIVE
67,NEGATIVE
68,NEGATIVE
69,NEUTRAL
70,NEUTRAL
71,POSITIVE
72,NEGATIVE
73,NEGATIVE
74,NEGATIVE
75,NEGATIVE
76,NEGATIVE
77,POSITIVE
78,NEUTRAL
79,NEGATIVE
80,NEGATIVE
81,NEUTRAL
82,NEGATIVE
83,NEUTRAL
84,NEUTRAL
85,POSITIVE
86,NEGATIVE
87,NEUTRAL
88,POSITIVE
89,NEGATIVE
90,NEGATIVE
91,NEGATIVE
92,NEGATIVE
93,NEUTRAL
94,NEGATIVE
95,POSITIVE
96,POSITIVE
97,NEGATIVE
98,NEUTRAL
99,NEGATIVE
100,NEUTRAL
101,POSITIVE
102,NEUTRAL
103,POSITIVE
104,NEGATIVE
105,POSITIVE
106,NEGATIVE
107,NEUTRAL
108,NEUTRAL
109,NEGATIVE
110,NEGATIVE
111,NEGATIVE
112,NEGATIVE
113,NEGATIVE
114,POSITIVE
115,NEGATIVE
116,NEGATIVE
117,POSITIVE
118,POSITIVE
119,NEGATIVE
