Id,Predicted
1,NEGATIVE
2,NEUTRAL
3,POSITIVE
4,POSITIVE
5,NEGATIVE
6,NEGATIVE
7,NEUTRAL
8,POSITIVE
9,POSITIVE
10,POSITIVE
11,POSITIVE
12,POSITIVE
13,NEGATIVE
14,POSITIVE
15,NEGATIVE
16,POSITIVE
17,NEUTRAL
18,NEGATIVE
19,NEGATIVE
20,NEGATIVE
21,NEGATIVE
22,NEGATIVE
23,POSITIVE
24,NEGATIVE
25,NEUTRAL
26,POSITIVE
27,NEGATIVE
28,POSITIVE
29,NEGATIVE
30,POSITIVE
31,NEGATIVE
32,POSITIVE
33,POSITIVE
34,NEGATIVE
35,NEGATIVE
36,POSITIVE
37,POSITIVE
38,POSITIVE
39,NEGATIVE
40,NEGATIVE
41,POSITIVE
42,POSITIVE
43,POSITIVE
44,POSITIVE
45,NEGATIVE
46,POSITIVE
47,NEUTRAL
48,NEGATIVE
49,NEUTRAL
50,NEGATIVE
51,POSITIVE
52,POSITIVE
53,POSITIVE
54,NEGATIVE
55,POSITIVE
56,POSITIVE
57,NEGATIVE
58,NEGATIVE
59,POSITIVE
60,NEGATIVE
61,NEGATIVE
62,POSITIVE
63,POSITIVE
64,POSITIVE
65,NEGATIVE
66,NEUTRAL
67,POSITIVE
68,POSITIVE
69,NEGATIVE
70,NEGATIVE
71,NEGATIVE
72,NEGATIVE
73,POSITIVE
74,POSITIVE
75,NEGATIVE
76,POSITIVE
77,POSITIVE
78,NEGATIVE
79,NEUTRAL
80,POSITIVE
81,POSITIVE
82,NEGATIVE
83,NEGATIVE
84,NEGATIVE
85,NEGATIVE
86,NEGATIVE
87,NEGATIVE
88,POSITIVE
89,NEGATIVE
90,NEGATIVE
91,NEGATIVE
92,POSITIVE
93,POSITIVE
94,NEUTRAL
95,POSITIVE
96,POSITIVE
97,POSITIVE
98,NEUTRAL
99,POSITIVE
100,NEUTRAL
101,NEGATIVE
102,NEGATIVE
103,NEGATIVE
104,NEGATIVE
105,NEUTRAL
106,POSITIVE
107,NEGATIVE
108,POSITIVE
109,POSITIVE
110,POSITIVE
111,POSITIVE
112,NEGATIVE
113,NEUTRAL
114,POSITIVE
115,POSITIVE
116,POSITIVE
117,NEGATIVE
118,POSITIVE
119,NEUTRAL
120,NEUTRAL
121,POSITIVE
122,NEGATIVE
123,NEGATIVE
124,NEUTRAL
125,POSITIVE
126,POSITIVE
127,POSITIVE
128,POSITIVE
129,NEUTRAL
130,NEUTRAL
131,POSITIVE
132,NEGATIVE
133,NEGATIVE
134,POSITIVE
135,POSITIVE
136,NEGATIVE
137,POSITIVE
138,POSITIVE
139,POSITIVE
140,NEGATIVE
141,POSITIVE
142,POSITIVE
143,POSITIVE
144,NEGATIVE
145,NEGATIVE
146,POSITIVE
147,POSITIVE
148,POSITIVE
149,POSITIVE
150,POSITIVE
151,NEUTRAL
152,POSITIVE
153,NEUTRAL
154,POSITIVE
155,NEGATIVE
156,POSITIVE
157,NEGATIVE
158,POSITIVE
159,POSITIVE
160,POSITIVE
161,NEUTRAL
162,POSITIVE
163,NEGATIVE
164,NEGATIVE
165,NEUTRAL
166,NEUTRAL
167,POSITIVE
168,NEGATIVE
169,NEUTRAL
170,NEGATIVE
171,POSITIVE
172,NEGATIVE
173,NEGATIVE
174,POSITIVE
175,NEGATIVE
176,NEGATIVE
177,NEGATIVE
178,POSITIVE
179,NEGATIVE
180,NEGATIVE
181,NEGATIVE
182,POSITIVE
183,NEGATIVE
184,POSITIVE
185,POSITIVE
186,NEGATIVE
187,POSITIVE
188,POSITIVE
189,NEGATIVE
190,POSITIVE
191,NEGATIVE
192,NEUTRAL
193,POSITIVE
194,NEGATIVE
195,NEGATIVE
196,NEGATIVE
197,POSITIVE
198,NEUTRAL
199,POSITIVE
200,POSITIVE
201,NEGATIVE
202,POSITIVE
203,NEGATIVE
204,POSITIVE
205,POSITIVE
206,POSITIVE
207,NEGATIVE
208,POSITIVE
209,POSITIVE
210,POSITIVE
211,NEUTRAL
212,NEUTRAL
213,POSITIVE
214,NEGATIVE
215,NEGATIVE
216,NEUTRAL
217,POSITIVE
218,NEUTRAL
219,POSITIVE
220,NEGATIVE
221,NEUTRAL
222,POSITIVE
223,POSITIVE
224,POSITIVE
225,NEGATIVE
226,NEGATIVE
227,POSITIVE
228,POSITIVE
229,POSITIVE
230,POSITIVE
231,NEGATIVE
232,POSITIVE
233,POSITIVE
234,NEGATIVE
235,POSITIVE
236,POSITIVE
237,POSITIVE
238,NEGATIVE
239,POSITIVE
240,NEGATIVE
241,NEGATIVE
242,POSITIVE
243,POSITIVE
244,NEGATIVE
245,NEGATIVE
246,NEGATIVE
247,POSITIVE
248,POSITIVE
249,NEGATIVE
250,NEGATIVE
251,NEGATIVE
252,NEUTRAL
253,POSITIVE
254,NEGATIVE
255,NEGATIVE
256,POSITIVE
257,POSITIVE
258,NEUTRAL
259,POSITIVE
260,POSITIVE
261,NEGATIVE
262,NEGATIVE
263,NEGATIVE
264,POSITIVE
265,NEUTRAL
266,NEGATIVE
267,POSITIVE
268,NEGATIVE
269,NEGATIVE
270,NEGATIVE
271,NEUTRAL
272,NEUTRAL
273,NEGATIVE
274,POSITIVE
275,NEGATIVE
276,POSITIVE
277,POSITIVE
278,NEGATIVE
279,POSITIVE
280,NEGATIVE
281,NEGATIVE
282,POSITIVE
283,NEGATIVE
284,NEUTRAL
285,POSITIVE
286,NEGATIVE
287,NEGATIVE
288,POSITIVE
289,NEUTRAL
290,NEGATIVE
291,POSITIVE
292,POSITIVE
293,NEGATIVE
294,NEUTRAL
295,POSITIVE
296,POSITIVE
297,POSITIVE
298,NEUTRAL
299,NEUTRAL
300,POSITIVE
301,POSITIVE
302,POSITIVE
303,POSITIVE
304,POSITIVE
305,POSITIVE
306,NEGATIVE
307,POSITIVE
308,POSITIVE
309,POSITIVE
310,NEGATIVE
311,POSITIVE
312,NEGATIVE
313,NEGATIVE
314,NEGATIVE
315,NEGATIVE
316,NEGATIVE
317,POSITIVE
318,NEGATIVE
319,POSITIVE
320,POSITIVE
321,POSITIVE
322,POSITIVE
323,POSITIVE
324,POSITIVE
325,POSITIVE
326,POSITIVE
327,NEUTRAL
328,POSITIVE
329,POSITIVE
330,POSITIVE
331,POSITIVE
332,NEGATIVE
333,POSITIVE
334,POSITIVE
335,POSITIVE
336,POSITIVE
337,NEGATIVE
338,NEUTRAL
339,POSITIVE
340,POSITIVE
341,POSITIVE
342,POSITIVE
343,NEGATIVE
344,NEGATIVE
345,NEGATIVE
346,POSITIVE
347,POSITIVE
348,NEGATIVE
349,POSITIVE
350,NEGATIVE
351,NEGATIVE
352,NEUTRAL
353,NEGATIVE
354,NEGATIVE
355,NEGATIVE
356,NEGATIVE
357,POSITIVE
358,POSITIVE
359,NEGATIVE
