Id,Predicted
1,NEGATIVE
2,NEGATIVE
3,POSITIVE
4,POSITIVE
5,NEGATIVE
6,NEGATIVE
7,POSITIVE
8,NEGATIVE
9,NEGATIVE
10,POSITIVE
11,POSITIVE
12,POSITIVE
13,POSITIVE
14,NEUTRAL
15,NEGATIVE
16,NEGATIVE
17,NEGATIVE
18,NEGATIVE
19,NEGATIVE
20,NEGATIVE
21,NEGATIVE
22,NEUTRAL
23,NEUTRAL
24,NEGATIVE
25,NEUTRAL
26,NEGATIVE
27,POSITIVE
28,NEUTRAL
29,NEUTRAL
30,NEGATIVE
31,NEUTRAL
32,POSITIVE
33,POSITIVE
34,NEGATIVE
35,POSITIVE
36,NEUTRAL
37,NEGATIVE
38,POSITIVE
39,POSITIVE
40,NEUTRAL
41,NEGATIVE
42,NEUTRAL
43,NEGATIVE
44,NEGATIVE
45,POSITIVE
46,NEUTRAL
47,NEGATIVE
48,NEUTRAL
49,NEUTRAL
50,NEGATIVE
51,POSITIVE
52,NEUTRAL
53,NEGATIVE
54,NEUTRAL
55,NEGATIVE
56,NEGATIVE
57,NEUTRAL
58,NEUTRAL
59,POSITIVE
60,NEGATIVE
61,NEGATIVE
62,NEUTRAL
63,POSITIVE
64,POSITIVE
65,POSITIVE
66,NEGATIVE
67,POSITIVE
68,POSITIVE
69,NEGATIVE
70,NEGATIVE
71,NEGATIVE
72,POSITIVE
73,POSITIVE
74,NEGATIVE
75,POSITIVE
76,NEUTRAL
77,NEUTRAL
78,NEUTRAL
79,NEUTRAL
80,NEUTRAL
81,NEUTRAL
82,NEGATIVE
83,NEUTRAL
84,POSITIVE
85,NEGATIVE
86,NEUTRAL
87,NEGATIVE
88,NEUTRAL
89,NEGATIVE
90,POSITIVE
91,NEGATIVE
92,NEGATIVE
93,NEGATIVE
94,NEUTRAL
95,NEGATIVE
96,NEGATIVE
97,POSITIVE
98,POSITIVE
99,POSITIVE
100,NEGATIVE
101,NEGATIVE
102,POSITIVE
103,POSITIVE
104,NEGATIVE
105,NEUTRAL
106,POSITIVE
107,NEGATIVE
108,NEGATIVE
109,POSITIVE
110,POSITIVE
111,NEGATIVE
112,POSITIVE
113,NEUTRAL
114,NEUTRAL
115,NEGATIVE
116,NEGATIVE
117,POSITIVE
118,NEUTRAL
119,NEUTRAL
120,POSITIVE
121,NEGATIVE
122,POSITIVE
123,NEGATIVE
124,POSITIVE
125,NEUTRAL
126,NEGATIVE
127,NEUTRAL
128,POSITIVE
129,NEUTRAL
130,POSITIVE
131,NEUTRAL
132,NEGATIVE
133,NEUTRAL
134,POSITIVE
135,POSITIVE
136,POSITIVE
137,POSITIVE
138,NEGATIVE
139,POSITIVE
140,NEGATIVE
141,NEUTRAL
142,NEUTRAL
143,POSITIVE
144,NEGATIVE
145,POSITIVE
146,NEGATIVE
147,POSITIVE
148,NEUTRAL
149,NEUTRAL
150,NEGATIVE
151,NEUTRAL
152,NEGATIVE
153,NEGATIVE
154,NEUTRAL
155,NEGATIVE
156,NEGATIVE
157,NEUTRAL
158,NEGATIVE
159,NEGATIVE
160,NEUTRAL
161,POSITIVE
162,NEGATIVE
163,NEGATIVE
164,NEUTRAL
165,NEUTRAL
166,NEGATIVE
167,NEGATIVE
168,NEUTRAL
169,POSITIVE
170,POSITIVE
171,NEUTRAL
172,NEUTRAL
173,NEGATIVE
174,POSITIVE
175,NEGATIVE
176,NEUTRAL
177,NEGATIVE
178,POSITIVE
179,NEUTRAL
180,NEGATIVE
181,NEGATIVE
182,NEGATIVE
183,NEGATIVE
184,POSITIVE
185,NEGATIVE
186,POSITIVE
187,NEUTRAL
188,NEGATIVE
189,NEGATIVE
190,NEGATIVE
191,NEUTRAL
192,NEGATIVE
193,NEGATIVE
194,NEGATIVE
195,NEGATIVE
196,POSITIVE
197,NEGATIVE
198,NEUTRAL
199,POSITIVE
200,NEUTRAL
201,NEGATIVE
202,NEGATIVE
203,NEGATIVE
204,NEGATIVE
205,POSITIVE
206,POSITIVE
207,POSITIVE
208,NEGATIVE
209,NEGATIVE
210,NEGATIVE
211,NEUTRAL
212,NEUTRAL
213,NEGATIVE
214,NEUTRAL
215,NEGATIVE
216,POSITIVE
217,NEUTRAL
218,NEUTRAL
219,POSITIVE
220,POSITIVE
221,POSITIVE
222,NEGATIVE
223,POSITIVE
224,NEGATIVE
225,POSITIVE
226,NEUTRAL
227,NEGATIVE
228,NEUTRAL
229,NEUTRAL
230,NEUTRAL
231,NEGATIVE
232,NEUTRAL
233,NEGATIVE
234,POSITIVE
235,NEGATIVE
236,NEGATIVE
237,NEUTRAL
238,NEUTRAL
239,POSITIVE
240,NEGATIVE
241,POSITIVE
242,NEUTRAL
243,POSITIVE
244,NEUTRAL
245,NEGATIVE
246,NEGATIVE
247,POSITIVE
248,NEGATIVE
249,NEGATIVE
250,NEGATIVE
251,NEGATIVE
252,NEUTRAL
253,NEUTRAL
254,NEGATIVE
255,NEGATIVE
256,NEUTRAL
257,NEUTRAL
258,POSITIVE
259,NEGATIVE
260,POSITIVE
261,POSITIVE
262,NEGATIVE
263,POSITIVE
264,NEGATIVE
265,NEGATIVE
266,NEUTRAL
267,NEGATIVE
268,NEUTRAL
269,NEGATIVE
270,POSITIVE
271,NEUTRAL
272,NEGATIVE
273,NEUTRAL
274,POSITIVE
275,NEGATIVE
276,NEUTRAL
277,NEGATIVE
278,NEGATIVE
279,POSITIVE
280,NEGATIVE
281,NEGATIVE
282,POSITIVE
283,NEUTRAL
284,NEGATIVE
285,NEGATIVE
286,POSITIVE
287,NEGATIVE
288,NEUTRAL
289,NEGATIVE
290,NEGATIVE
291,NEGATIVE
292,POSITIVE
293,NEUTRAL
294,NEGATIVE
295,NEGATIVE
296,POSITIVE
297,NEUTRAL
298,NEGATIVE
299,NEUTRAL
300,POSITIVE
301,NEGATIVE
302,POSITIVE
303,NEGATIVE
304,NEGATIVE
305,NEGATIVE
306,POSITIVE
307,POSITIVE
308,NEUTRAL
309,NEUTRAL
310,NEGATIVE
311,NEGATIVE
312,POSITIVE
313,POSITIVE
314,NEGATIVE
315,NEUTRAL
316,POSITIVE
317,POSITIVE
318,POSITIVE
319,NEGATIVE
320,NEGATIVE
321,NEGATIVE
322,POSITIVE
323,NEUTRAL
324,POSITIVE
325,NEGATIVE
326,POSITIVE
327,NEGATIVE
328,POSITIVE
329,NEGATIVE
330,NEUTRAL
331,NEGATIVE
332,POSITIVE
333,NEUTRAL
334,POSITIVE
335,NEGATIVE
336,NEGATIVE
337,POSITIVE
338,NEGATIVE
339,NEUTRAL
340,NEUTRAL
341,POSITIVE
342,NEGATIVE
343,NEUTRAL
344,NEUTRAL
345,NEGATIVE
346,POSITIVE
347,POSITIVE
348,NEGATIVE
349,NEGATIVE
350,NEUTRAL
351,NEGATIVE
352,POSITIVE
353,NEGATIVE
354,NEUTRAL
355,NEGATIVE
356,NEUTRAL
357,NEGATIVE
358,NEGATIVE
359,NEUTRAL
360,NEUTRAL
361,NEGATIVE
362,NEGATIVE
363,POSITIVE
364,POSITIVE
365,NEGATIVE
366,NEGATIVE
367,NEGATIVE
368,NEGATIVE
369,POSITIVE
370,NEGATIVE
371,NEGATIVE
372,POSITIVE
373,POSITIVE
374,POSITIVE
375,NEUTRAL
376,POSITIVE
377,NEUTRAL
378,POSITIVE
379,NEUTRAL
380,NEGATIVE
381,POSITIVE
382,NEGATIVE
383,POSITIVE
384,POSITIVE
385,NEGATIVE
386,NEGATIVE
387,POSITIVE
388,NEGATIVE
389,POSITIVE
390,POSITIVE
391,NEGATIVE
392,NEGATIVE
393,NEGATIVE
394,NEGATIVE
395,NEUTRAL
396,NEGATIVE
397,POSITIVE
398,POSITIVE
399,NEGATIVE
400,NEGATIVE
401,NEGATIVE
402,NEGATIVE
403,NEGATIVE
404,POSITIVE
405,POSITIVE
406,NEGATIVE
407,NEGATIVE
408,NEUTRAL
409,POSITIVE
410,NEGATIVE
411,POSITIVE
412,NEGATIVE
413,NEGATIVE
414,NEGATIVE
415,POSITIVE
416,NEGATIVE
417,NEGATIVE
418,POSITIVE
419,NEGATIVE
420,NEGATIVE
421,NEUTRAL
422,POSITIVE
423,NEGATIVE
424,NEUTRAL
425,POSITIVE
426,NEUTRAL
427,NEUTRAL
428,NEGATIVE
429,NEGATIVE
430,POSITIVE
431,NEGATIVE
432,POSITIVE
433,NEGATIVE
434,NEGATIVE
435,NEGATIVE
436,POSITIVE
437,NEGATIVE
438,NEGATIVE
439,POSITIVE
440,NEUTRAL
441,POSITIVE
442,NEGATIVE
443,NEUTRAL
444,NEGATIVE
445,POSITIVE
446,POSITIVE
447,NEGATIVE
448,NEUTRAL
449,NEGATIVE
450,NEGATIVE
451,NEGATIVE
452,NEUTRAL
453,NEUTRAL
454,NEGATIVE
455,NEGATIVE
456,NEGATIVE
457,NEUTRAL
458,NEUTRAL
459,NEGATIVE
460,NEGATIVE
461,NEGATIVE
462,NEGATIVE
463,NEGATIVE
464,NEGATIVE
465,POSITIVE
466,NEGATIVE
467,NEGATIVE
468,POSITIVE
469,POSITIVE
470,POSITIVE
471,NEGATIVE
472,POSITIVE
473,POSITIVE
474,NEGATIVE
475,NEGATIVE
476,POSITIVE
477,NEGATIVE
478,NEGATIVE
479,POSITIVE
480,NEGATIVE
481,POSITIVE
482,POSITIVE
483,NEUTRAL
484,POSITIVE
485,POSITIVE
486,NEUTRAL
487,NEUTRAL
488,POSITIVE
489,POSITIVE
490,NEGATIVE
491,NEUTRAL
492,NEGATIVE
493,NEGATIVE
494,POSITIVE
495,POSITIVE
496,NEGATIVE
497,NEGATIVE
498,POSITIVE
499,NEGATIVE
500,POSITIVE
501,POSITIVE
502,NEUTRAL
503,NEGATIVE
504,NEUTRAL
505,NEUTRAL
506,NEGATIVE
507,POSITIVE
508,NEUTRAL
509,POSITIVE
510,NEGATIVE
511,NEGATIVE
512,NEGATIVE
513,NEGATIVE
514,NEGATIVE
515,POSITIVE
516,NEUTRAL
517,NEUTRAL
518,NEGATIVE
519,NEUTRAL
520,NEGATIVE
521,NEGATIVE
522,POSITIVE
523,POSITIVE
524,POSITIVE
525,NEGATIVE
526,NEUTRAL
527,POSITIVE
528,POSITIVE
529,NEGATIVE
530,NEUTRAL
531,NEGATIVE
532,NEGATIVE
533,POSITIVE
534,NEGATIVE
535,NEGATIVE
536,NEGATIVE
537,POSITIVE
538,NEGATIVE
539,NEUTRAL
540,POSITIVE
541,NEGATIVE
542,NEGATIVE
543,NEUTRAL
544,NEGATIVE
545,NEGATIVE
546,NEUTRAL
547,NEUTRAL
548,POSITIVE
549,POSITIVE
550,POSITIVE
551,NEGATIVE
552,POSITIVE
553,NEUTRAL
554,NEGATIVE
555,NEGATIVE
556,NEGATIVE
557,POSITIVE
558,NEUTRAL
559,POSITIVE
560,NEGATIVE
561,NEUTRAL
562,POSITIVE
563,POSITIVE
564,NEGATIVE
565,POSITIVE
566,NEUTRAL
567,NEUTRAL
568,NEGATIVE
569,NEUTRAL
570,NEUTRAL
571,NEUTRAL
572,NEGATIVE
573,POSITIVE
574,POSITIVE
575,NEGATIVE
576,NEUTRAL
577,NEGATIVE
578,NEUTRAL
579,POSITIVE
580,NEGATIVE
581,NEUTRAL
582,POSITIVE
583,POSITIVE
584,NEGATIVE
585,POSITIVE
586,POSITIVE
587,NEGATIVE
588,NEUTRAL
589,NEGATIVE
590,NEUTRAL
591,NEUTRAL
592,POSITIVE
593,NEGATIVE
594,NEGATIVE
595,POSITIVE
596,NEUTRAL
597,NEGATIVE
598,POSITIVE
599,NEGATIVE
600,NEUTRAL
601,NEGATIVE
602,NEGATIVE
603,NEGATIVE
604,NEUTRAL
605,NEUTRAL
606,NEUTRAL
607,NEGATIVE
608,POSITIVE
609,NEUTRAL
610,NEGATIVE
611,NEGATIVE
612,NEGATIVE
613,POSITIVE
614,NEGATIVE
615,NEUTRAL
616,POSITIVE
617,NEGATIVE
618,NEGATIVE
619,NEGATIVE
620,NEUTRAL
621,POSITIVE
622,NEGATIVE
623,NEGATIVE
624,NEGATIVE
625,NEUTRAL
626,POSITIVE
627,NEUTRAL
628,NEGATIVE
629,NEUTRAL
630,NEGATIVE
631,POSITIVE
632,NEGATIVE
633,NEGATIVE
634,NEUTRAL
635,NEUTRAL
636,NEGATIVE
637,NEGATIVE
638,POSITIVE
639,NEGATIVE
640,POSITIVE
641,NEUTRAL
642,NEGATIVE
643,NEUTRAL
644,POSITIVE
645,POSITIVE
646,NEGATIVE
647,NEGATIVE
648,POSITIVE
649,POSITIVE
650,POSITIVE
651,NEGATIVE
652,NEGATIVE
653,NEGATIVE
654,POSITIVE
655,POSITIVE
656,NEUTRAL
657,POSITIVE
658,POSITIVE
659,POSITIVE
660,POSITIVE
661,NEUTRAL
662,POSITIVE
663,NEGATIVE
664,NEGATIVE
665,NEUTRAL
666,NEGATIVE
667,NEGATIVE
668,NEUTRAL
669,NEGATIVE
670,NEGATIVE
671,NEGATIVE
672,NEGATIVE
673,NEUTRAL
674,POSITIVE
675,POSITIVE
676,NEUTRAL
677,NEGATIVE
678,NEGATIVE
679,NEUTRAL
680,POSITIVE
681,NEUTRAL
682,NEGATIVE
683,NEUTRAL
684,POSITIVE
685,NEGATIVE
686,POSITIVE
687,NEUTRAL
688,NEGATIVE
689,NEUTRAL
690,NEUTRAL
691,NEGATIVE
692,NEGATIVE
693,POSITIVE
694,NEGATIVE
695,NEGATIVE
696,NEGATIVE
697,NEGATIVE
698,POSITIVE
699,POSITIVE
700,NEGATIVE
701,NEGATIVE
702,NEGATIVE
703,NEGATIVE
704,POSITIVE
705,NEGATIVE
706,NEGATIVE
707,NEGATIVE
708,NEGATIVE
709,NEGATIVE
710,NEUTRAL
711,POSITIVE
712,NEGATIVE
713,POSITIVE
714,NEGATIVE
715,NEGATIVE
716,NEUTRAL
717,NEUTRAL
718,POSITIVE
719,NEGATIVE
720,POSITIVE
721,POSITIVE
722,NEGATIVE
723,NEUTRAL
724,NEGATIVE
725,NEGATIVE
726,POSITIVE
727,NEGATIVE
728,POSITIVE
729,NEGATIVE
730,NEGATIVE
731,POSITIVE
732,NEGATIVE
733,NEUTRAL
734,POSITIVE
735,POSITIVE
736,NEUTRAL
737,POSITIVE
738,POSITIVE
739,POSITIVE
740,POSITIVE
741,NEGATIVE
742,POSITIVE
743,NEGATIVE
744,NEGATIVE
745,NEUTRAL
746,NEGATIVE
747,NEGATIVE
748,POSITIVE
749,NEUTRAL
750,NEUTRAL
751,POSITIVE
752,NEGATIVE
753,NEGATIVE
754,NEGATIVE
755,NEGATIVE
756,NEUTRAL
757,NEUTRAL
758,NEUTRAL
759,NEGATIVE
760,POSITIVE
761,NEGATIVE
762,NEGATIVE
763,NEGATIVE
764,NEUTRAL
765,NEUTRAL
766,NEGATIVE
767,NEGATIVE
768,POSITIVE
769,POSITIVE
770,POSITIVE
771,POSITIVE
772,NEGATIVE
773,POSITIVE
774,NEUTRAL
775,NEUTRAL
776,POSITIVE
777,NEGATIVE
778,NEGATIVE
779,NEGATIVE
780,NEUTRAL
781,NEGATIVE
782,NEGATIVE
783,POSITIVE
784,NEUTRAL
785,NEUTRAL
786,NEGATIVE
787,NEGATIVE
788,NEGATIVE
789,NEUTRAL
790,POSITIVE
791,NEGATIVE
792,NEGATIVE
793,NEGATIVE
794,NEUTRAL
795,POSITIVE
796,POSITIVE
797,POSITIVE
798,NEUTRAL
799,POSITIVE
800,NEUTRAL
801,NEUTRAL
802,POSITIVE
803,POSITIVE
804,POSITIVE
805,NEUTRAL
806,POSITIVE
807,POSITIVE
808,POSITIVE
809,POSITIVE
810,POSITIVE
811,NEUTRAL
812,NEUTRAL
813,POSITIVE
814,NEUTRAL
815,NEGATIVE
816,NEGATIVE
817,NEGATIVE
818,NEUTRAL
819,NEUTRAL
820,NEGATIVE
821,POSITIVE
822,NEGATIVE
823,NEUTRAL
824,NEUTRAL
825,NEUTRAL
826,NEGATIVE
827,NEGATIVE
828,NEUTRAL
829,POSITIVE
830,NEUTRAL
831,POSITIVE
832,NEUTRAL
833,NEGATIVE
834,POSITIVE
835,NEGATIVE
836,POSITIVE
837,POSITIVE
838,NEGATIVE
839,NEUTRAL
840,POSITIVE
841,NEUTRAL
842,NEGATIVE
843,POSITIVE
844,NEGATIVE
845,NEGATIVE
846,NEGATIVE
847,NEGATIVE
848,NEGATIVE
849,NEUTRAL
850,NEGATIVE
851,NEUTRAL
852,NEGATIVE
853,NEGATIVE
854,NEUTRAL
855,NEUTRAL
856,NEGATIVE
857,NEGATIVE
858,NEGATIVE
859,NEGATIVE
860,POSITIVE
861,POSITIVE
862,NEGATIVE
863,NEGATIVE
864,NEUTRAL
865,POSITIVE
866,NEGATIVE
867,NEGATIVE
868,NEGATIVE
869,POSITIVE
870,NEUTRAL
871,NEGATIVE
872,NEGATIVE
873,NEGATIVE
874,NEUTRAL
875,NEGATIVE
876,NEUTRAL
877,POSITIVE
878,NEUTRAL
879,NEUTRAL
880,POSITIVE
881,POSITIVE
882,POSITIVE
883,NEUTRAL
884,NEGATIVE
885,POSITIVE
886,NEGATIVE
887,POSITIVE
888,NEGATIVE
889,NEGATIVE
890,POSITIVE
891,NEUTRAL
892,NEGATIVE
893,NEUTRAL
894,NEGATIVE
895,NEUTRAL
896,NEGATIVE
897,POSITIVE
898,NEUTRAL
899,POSITIVE
900,NEGATIVE
901,NEGATIVE
902,POSITIVE
903,NEUTRAL
904,NEGATIVE
905,NEUTRAL
906,POSITIVE
907,NEUTRAL
908,POSITIVE
909,NEUTRAL
910,POSITIVE
911,POSITIVE
912,NEUTRAL
913,NEGATIVE
914,POSITIVE
915,NEGATIVE
916,POSITIVE
917,POSITIVE
918,NEUTRAL
919,POSITIVE
920,POSITIVE
921,POSITIVE
922,POSITIVE
923,POSITIVE
924,NEGATIVE
925,NEGATIVE
926,NEUTRAL
927,NEGATIVE
928,NEGATIVE
929,NEGATIVE
930,NEGATIVE
931,POSITIVE
932,NEGATIVE
933,POSITIVE
934,POSITIVE
935,NEGATIVE
936,NEGATIVE
937,NEGATIVE
938,NEUTRAL
939,NEUTRAL
940,NEGATIVE
941,POSITIVE
942,NEGATIVE
943,NEUTRAL
944,POSITIVE
945,NEGATIVE
946,NEGATIVE
947,NEUTRAL
948,NEGATIVE
949,NEGATIVE
950,NEGATIVE
951,POSITIVE
952,POSITIVE
953,POSITIVE
954,NEUTRAL
955,NEUTRAL
956,NEGATIVE
957,NEUTRAL
958,POSITIVE
959,POSITIVE
960,NEUTRAL
961,NEGATIVE
962,NEGATIVE
963,POSITIVE
964,POSITIVE
965,POSITIVE
966,NEUTRAL
967,POSITIVE
968,NEUTRAL
969,POSITIVE
970,POSITIVE
971,POSITIVE
972,POSITIVE
973,NEGATIVE
974,NEGATIVE
975,POSITIVE
976,NEGATIVE
977,POSITIVE
978,POSITIVE
979,NEGATIVE
980,NEUTRAL
981,NEGATIVE
982,NEGATIVE
983,NEGATIVE
984,NEUTRAL
985,NEGATIVE
986,POSITIVE
987,NEGATIVE
988,NEUTRAL
989,NEGATIVE
990,NEGATIVE
991,NEGATIVE
992,POSITIVE
993,POSITIVE
994,POSITIVE
995,POSITIVE
996,NEUTRAL
997,NEUTRAL
998,NEGATIVE
999,POSITIVE
1000,NEUTRAL
1001,POSITIVE
1002,NEGATIVE
1003,NEGATIVE
1004,POSITIVE
1005,POSITIVE
1006,POSITIVE
1007,POSITIVE
1008,NEGATIVE
1009,NEUTRAL
1010,POSITIVE
1011,NEGATIVE
1012,NEUTRAL
1013,POSITIVE
1014,NEGATIVE
1015,NEGATIVE
1016,NEGATIVE
1017,NEUTRAL
1018,NEGATIVE
1019,NEUTRAL
1020,NEGATIVE
1021,NEGATIVE
1022,POSITIVE
1023,NEUTRAL
1024,NEGATIVE
1025,POSITIVE
1026,NEGATIVE
1027,NEGATIVE
1028,NEGATIVE
1029,POSITIVE
1030,POSITIVE
1031,NEGATIVE
1032,POSITIVE
1033,NEGATIVE
1034,NEGATIVE
1035,POSITIVE
1036,POSITIVE
1037,NEGATIVE
1038,POSITIVE
1039,NEUTRAL
1040,NEUTRAL
1041,POSITIVE
1042,POSITIVE
1043,POSITIVE
1044,NEGATIVE
1045,NEGATIVE
1046,POSITIVE
1047,POSITIVE
1048,NEGATIVE
1049,NEGATIVE
1050,POSITIVE
1051,POSITIVE
1052,POSITIVE
1053,NEUTRAL
1054,NEGATIVE
1055,NEUTRAL
1056,NEGATIVE
1057,POSITIVE
1058,NEUTRAL
1059,POSITIVE
1060,NEGATIVE
1061,POSITIVE
1062,POSITIVE
1063,NEGATIVE
1064,POSITIVE
1065,NEUTRAL
1066,NEUTRAL
1067,NEGATIVE
1068,POSITIVE
1069,POSITIVE
1070,POSITIVE
1071,POSITIVE
1072,NEGATIVE
1073,POSITIVE
1074,POSITIVE
1075,NEUTRAL
1076,NEGATIVE
1077,NEGATIVE
1078,POSITIVE
1079,NEUTRAL
1080,NEGATIVE
1081,POSITIVE
1082,NEGATIVE
1083,NEUTRAL
1084,NEGATIVE
1085,NEUTRAL
1086,NEUTRAL
1087,NEGATIVE
1088,POSITIVE
1089,POSITIVE
1090,POSITIVE
1091,NEGATIVE
1092,NEGATIVE
1093,NEGATIVE
1094,NEGATIVE
1095,POSITIVE
1096,NEGATIVE
1097,POSITIVE
1098,POSITIVE
1099,POSITIVE
1100,POSITIVE
1101,POSITIVE
1102,POSITIVE
1103,NEUTRAL
1104,NEUTRAL
1105,POSITIVE
1106,NEGATIVE
1107,NEUTRAL
1108,NEUTRAL
1109,NEGATIVE
1110,NEGATIVE
1111,NEGATIVE
1112,NEUTRAL
1113,NEUTRAL
1114,NEGATIVE
1115,NEUTRAL
1116,NEUTRAL
