Id,Predicted
1,POSITIVE
2,POSITIVE
3,NEGATIVE
4,POSITIVE
5,NEGATIVE
6,POSITIVE
7,NEGATIVE
8,POSITIVE
9,NEGATIVE
10,NEGATIVE
11,NEGATIVE
12,NEGATIVE
13,NEGATIVE
14,NEGATIVE
15,POSITIVE
16,POSITIVE
17,POSITIVE
18,POSITIVE
19,NEUTRAL
20,NEGATIVE
21,NEGATIVE
22,NEUTRAL
23,NEGATIVE
24,POSITIVE
25,POSITIVE
26,NEGATIVE
27,NEGATIVE
28,POSITIVE
29,NEGATIVE
30,NEGATIVE
31,NEGATIVE
32,POSITIVE
33,POSITIVE
34,NEGATIVE
35,NEGATIVE
36,POSITIVE
37,POSITIVE
38,NEGATIVE
39,NEGATIVE
40,NEGATIVE
41,NEGATIVE
42,POSITIVE
43,POSITIVE
44,NEGATIVE
45,POSITIVE
46,NEGATIVE
47,NEGATIVE
48,NEGATIVE
49,POSITIVE
50,NEUTRAL
51,NEGATIVE
52,NEGATIVE
53,POSITIVE
54,POSITIVE
55,NEGATIVE
56,NEGATIVE
57,NEGATIVE
58,NEGATIVE
59,NEGATIVE
60,NEUTRAL
61,NEUTRAL
62,POSITIVE
63,POSITIVE
64,POSITIVE
65,NEUTRAL
66,POSITIVE
67,POSITIVE
68,NEGATIVE
69,NEGATIVE
70,NEUTRAL
71,POSITIVE
72,NEGATIVE
73,POSITIVE
74,NEGATIVE
75,NEUTRAL
76,POSITIVE
77,NEGATIVE
78,NEGATIVE
79,POSITIVE
80,NEGATIVE
81,POSITIVE
82,NEGATIVE
83,POSITIVE
84,POSITIVE
85,NEUTRAL
86,POSITIVE
87,POSITIVE
88,POSITIVE
89,NEGATIVE
90,POSITIVE
91,POSITIVE
92,POSITIVE
93,NEGATIVE
94,NEGATIVE
95,NEGATIVE
96,NEGATIVE
97,NEUTRAL
98,POSITIVE
99,NEGATIVE
100,POSITIVE
101,NEGATIVE
102,NEGATIVE
103,NEGATIVE
104,NEGATIVE
105,NEGATIVE
106,POSITIVE
107,POSITIVE
108,NEGATIVE
109,NEGATIVE
110,POSITIVE
111,POSITIVE
112,POSITIVE
113,NEGATIVE
114,POSITIVE
115,POSITIVE
116,NEGATIVE
117,NEGATIVE
118,NEGATIVE
119,NEGATIVE
120,POSITIVE
121,POSITIVE
